date,pe,value,high,drawdown,recommendation
2026-05-22,35.002605,29481.640625,29678.890625,0.6646137906308619,定投 200 元
2026-05-26,35.62408,30001.3203125,30044.490234375,0.1436866511571153,定投 200 元
2026-06-10,30.95765,28508.029296875,30762.19921875,7.327726817727164,定投 200 元
